	ntype
HGNC:1953	protein
HGNC:1954	protein
HGNC:5297	protein
HGNC:5298	protein
HGNC:24003	protein
HGNC:24004	protein
HGNC:24005	protein
HGNC:5300	protein
DRUGBANK:DB00247	drug
HGNC:5293	protein
HGNC:5286	protein
HGNC:5287	protein
HGNC:5292	protein
HGNC:5291	protein
DRUGBANK:DB00248	drug
DRUGBANK:DB00252	drug
DRUGBANK:DB00253	drug
DRUGBANK:DB00255	drug
HGNC:7669	protein
HGNC:644	protein
DRUGBANK:DB00257	drug
HGNC:24827	protein
DRUGBANK:DB00266	drug
HGNC:2419	protein
DRUGBANK:DB00268	drug
DRUGBANK:DB00270	drug
DRUGBANK:DB00272	drug
HGNC:5183	protein
DRUGBANK:DB00273	drug
HGNC:1373	protein
HGNC:1374	protein
DRUGBANK:DB00275	drug
HGNC:336	protein
DRUGBANK:DB00276	drug
HGNC:8498	protein
HGNC:399	protein
DRUGBANK:DB00277	drug
HGNC:2314	protein
HGNC:16435	protein
HGNC:30060	protein
HGNC:270	protein
HGNC:30338	protein
HGNC:24483	protein
DRUGBANK:DB00279	drug
HGNC:8729	protein
DRUGBANK:DB00280	drug
HGNC:6238	protein
HGNC:6239	protein
HGNC:8499	protein
DRUGBANK:DB00281	drug
HGNC:3236	protein
DRUGBANK:DB00284	drug
HGNC:7043	protein
HGNC:4065	protein
HGNC:10856	protein
HGNC:477	protein
DRUGBANK:DB00285	drug
DRUGBANK:DB00286	drug
HGNC:3467	protein
HGNC:3468	protein
DRUGBANK:DB00287	drug
HGNC:9600	protein
DRUGBANK:DB00288	drug
HGNC:533	protein
DRUGBANK:DB00289	drug
HGNC:6264	protein
DRUGBANK:DB00290	drug
HGNC:6598	protein
HGNC:6600	protein
DRUGBANK:DB00292	drug
DRUGBANK:DB00293	drug
DRUGBANK:DB00294	drug
HGNC:8910	protein
DRUGBANK:DB00295	drug
HGNC:17156	protein
DRUGBANK:DB00296	drug
DRUGBANK:DB00297	drug
HGNC:9593	protein
DRUGBANK:DB00298	drug
DRUGBANK:DB00304	drug
DRUGBANK:DB00306	drug
DRUGBANK:DB00308	drug
HGNC:6272	protein
HGNC:6281	protein
HGNC:18862	protein
HGNC:18863	protein
DRUGBANK:DB00309	drug
HGNC:16257	protein
DRUGBANK:DB00310	drug
DRUGBANK:DB00312	drug
DRUGBANK:DB00313	drug
HGNC:91	protein
HGNC:14065	protein
DRUGBANK:DB00316	drug
HGNC:16049	protein
DRUGBANK:DB00318	drug
DRUGBANK:DB00320	drug
DRUGBANK:DB00321	drug
HGNC:8031	protein
HGNC:8032	protein
HGNC:6296	protein
HGNC:17383	protein
HGNC:8157	protein
HGNC:5289	protein
HGNC:6297	protein
DRUGBANK:DB00322	drug
HGNC:12441	protein
DRUGBANK:DB00325	drug
HGNC:7943	protein
DRUGBANK:DB00328	drug
HGNC:9031	protein
HGNC:20149	protein
DRUGBANK:DB00331	drug
HGNC:3483	protein
DRUGBANK:DB00332	drug
DRUGBANK:DB00333	drug
HGNC:1957	protein
DRUGBANK:DB00334	drug
DRUGBANK:DB00337	drug
HGNC:3942	protein
DRUGBANK:DB00338	drug
HGNC:348	protein
DRUGBANK:DB00340	drug
DRUGBANK:DB00343	drug
DRUGBANK:DB00344	drug
DRUGBANK:DB00346	drug
DRUGBANK:DB00347	drug
DRUGBANK:DB00349	drug
DRUGBANK:DB00350	drug
HGNC:9958	protein
DRUGBANK:DB00351	drug
DRUGBANK:DB00353	drug
DRUGBANK:DB00354	drug
DRUGBANK:DB00356	drug
HGNC:6284	protein
DRUGBANK:DB00358	drug
HGNC:4824	protein
DRUGBANK:DB00360	drug
HGNC:7876	protein
HGNC:12008	protein
DRUGBANK:DB00361	drug
HGNC:20778	protein
DRUGBANK:DB00363	drug
HGNC:17938	protein
DRUGBANK:DB00364	drug
HGNC:8887	protein
HGNC:3676	protein
HGNC:3229	protein
HGNC:3661	protein
HGNC:3662	protein
HGNC:3694	protein
DRUGBANK:DB00366	drug
HGNC:7969	protein
DRUGBANK:DB00367	drug
HGNC:11284	protein
DRUGBANK:DB00368	drug
HGNC:10934	protein
DRUGBANK:DB00370	drug
DRUGBANK:DB00371	drug
DRUGBANK:DB00373	drug
DRUGBANK:DB00374	drug
DRUGBANK:DB00376	drug
DRUGBANK:DB00377	drug
DRUGBANK:DB00379	drug
DRUGBANK:DB00381	drug
HGNC:1368	protein
HGNC:11120	protein
DRUGBANK:DB00383	drug
DRUGBANK:DB00384	drug
HGNC:10600	protein
HGNC:10599	protein
HGNC:10601	protein
HGNC:10602	protein
DRUGBANK:DB00385	drug
DRUGBANK:DB00387	drug
DRUGBANK:DB00389	drug
HGNC:12015	protein
DRUGBANK:DB00391	drug
DRUGBANK:DB00392	drug
DRUGBANK:DB00393	drug
DRUGBANK:DB00394	drug
DRUGBANK:DB00395	drug
DRUGBANK:DB00396	drug
DRUGBANK:DB00398	drug
HGNC:3763	protein
DRUGBANK:DB00399	drug
HGNC:4249	protein
DRUGBANK:DB00400	drug
HGNC:6414	protein
DRUGBANK:DB00401	drug
DRUGBANK:DB00402	drug
DRUGBANK:DB00403	drug
HGNC:1570	protein
DRUGBANK:DB00404	drug
DRUGBANK:DB00405	drug
DRUGBANK:DB00408	drug
DRUGBANK:DB00411	drug
DRUGBANK:DB00412	drug
DRUGBANK:DB00413	drug
DRUGBANK:DB00415	drug
HGNC:10920	protein
HGNC:10921	protein
HGNC:11724	protein
DRUGBANK:DB00417	drug
DRUGBANK:DB00418	drug
DRUGBANK:DB00420	drug
DRUGBANK:DB00421	drug
HGNC:2592	protein
HGNC:11285	protein
HGNC:25812	protein
DRUGBANK:DB00422	drug
DRUGBANK:DB00424	drug
DRUGBANK:DB00425	drug
DRUGBANK:DB00428	drug
HGNC:11006	protein
HGNC:7056	protein
DRUGBANK:DB00429	drug
DRUGBANK:DB00432	drug
DRUGBANK:DB00433	drug
DRUGBANK:DB00434	drug
DRUGBANK:DB00435	drug
HGNC:4684	protein
HGNC:7393	protein
HGNC:6059	protein
DRUGBANK:DB00436	drug
HGNC:10912	protein
HGNC:1375	protein
DRUGBANK:DB00441	drug
HGNC:18170	protein
DRUGBANK:DB00445	drug
HGNC:1915	protein
DRUGBANK:DB00446	drug
HGNC:2665	protein
DRUGBANK:DB00448	drug
HGNC:6893	protein
DRUGBANK:DB00449	drug
DRUGBANK:DB00450	drug
DRUGBANK:DB00451	drug
HGNC:6150	protein
HGNC:6156	protein
DRUGBANK:DB00452	drug
HGNC:2561	protein
DRUGBANK:DB00454	drug
HGNC:1863	protein
DRUGBANK:DB00455	drug
DRUGBANK:DB00457	drug
DRUGBANK:DB00458	drug
DRUGBANK:DB00459	drug
HGNC:9864	protein
HGNC:9865	protein
HGNC:9866	protein
HGNC:9919	protein
DRUGBANK:DB00461	drug
DRUGBANK:DB00462	drug
DRUGBANK:DB00464	drug
DRUGBANK:DB00467	drug
DRUGBANK:DB00468	drug
HGNC:4444	protein
DRUGBANK:DB00469	drug
DRUGBANK:DB00471	drug
DRUGBANK:DB00472	drug
HGNC:19083	protein
DRUGBANK:DB00474	drug
DRUGBANK:DB00475	drug
DRUGBANK:DB00476	drug
DRUGBANK:DB00477	drug
HGNC:1442	protein
DRUGBANK:DB00480	drug
HGNC:11926	protein
HGNC:1764	protein
DRUGBANK:DB00481	drug
HGNC:8955	protein
HGNC:11755	protein
DRUGBANK:DB00482	drug
HGNC:8816	protein
DRUGBANK:DB00483	drug
DRUGBANK:DB00486	drug
HGNC:2159	protein
HGNC:2160	protein
DRUGBANK:DB00487	drug
DRUGBANK:DB00489	drug
DRUGBANK:DB00490	drug
DRUGBANK:DB00491	drug
HGNC:4138	protein
HGNC:4139	protein
DRUGBANK:DB00493	drug
HGNC:10970	protein
HGNC:10972	protein
HGNC:18120	protein
HGNC:10971	protein
DRUGBANK:DB00495	drug
HGNC:11730	protein
DRUGBANK:DB00497	drug
DRUGBANK:DB00499	drug
DRUGBANK:DB00500	drug
DRUGBANK:DB00502	drug
HGNC:4479	protein
DRUGBANK:DB00503	drug
DRUGBANK:DB00508	drug
DRUGBANK:DB00509	drug
DRUGBANK:DB00513	drug
HGNC:9051	protein
HGNC:6667	protein
DRUGBANK:DB00514	drug
HGNC:16090	protein
HGNC:2578	protein
HGNC:2577	protein
HGNC:7660	protein
HGNC:7661	protein
HGNC:7662	protein
HGNC:9801	protein
HGNC:9802	protein
DRUGBANK:DB00515	drug
HGNC:7211	protein
HGNC:7	protein
HGNC:11740	protein
HGNC:798	protein
DRUGBANK:DB00517	drug
DRUGBANK:DB00518	drug
HGNC:20766	protein
HGNC:20771	protein
DRUGBANK:DB00521	drug
DRUGBANK:DB00523	drug
HGNC:5472	protein
HGNC:9522	protein
HGNC:20577	protein
DRUGBANK:DB00527	drug
DRUGBANK:DB00528	drug
DRUGBANK:DB00530	drug
DRUGBANK:DB00531	drug
DRUGBANK:DB00535	drug
DRUGBANK:DB00536	drug
HGNC:2903	protein
DRUGBANK:DB00537	drug
